   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 347,         29470,           29128,          28710,         60031,             340,          19135,      4429,        1040,       2279,      2504,           0,       1281,       347,           0,        842
 348,         29595,           29252,          30456,         60378,             344,          19192,      4319,        1066,       2392,      2508,           0,       1699,       348,           0,        990
 349,         29832,           29488,          29486,         60726,             341,          19523,      4294,        1080,       2347,      2515,           0,       1321,       349,           0,        852
 350,         30163,           29818,          31021,         61075,             341,          19821,      4521,        1103,       2481,      2522,           0,       1341,       350,           0,        868
 351,         30196,           29850,          30516,         61425,             343,          19834,      4584,        1086,       2629,      2543,           0,       1364,       351,           0,        919
 352,         30502,           30155,          30278,         61776,             345,          19817,      4606,        1058,       2499,      2550,           0,       1463,       352,           0,        893
 353,         30661,           30313,          29996,         62128,             344,          20464,      4322,        1088,       2577,      2562,           0,       1577,       353,           0,        888
 354,         30999,           30650,          33571,         62481,             347,          19550,      4567,        1076,       2558,      2574,           0,       1300,       354,           0,        826
 355,         31235,           30885,          30384,         62835,             348,          20748,      4375,        1091,       2367,      2575,           0,       1310,       355,           0,        833
 356,         31469,           31118,          31827,         63190,             349,          20999,      4555,        1090,       2702,      2572,           0,       2105,       356,           0,       1259
 357,         31496,           31144,          32589,         63546,             349,          21573,      4721,        1095,       3172,      2585,           0,       1837,       357,           0,        990
 358,         31581,           31228,          42772,         63903,             354,          28001,      4875,        1087,       2756,      2596,           0,       1455,       358,           0,        923
 359,         31903,           31549,          43625,         64261,             352,          21831,      4742,        1101,       2601,      2613,           0,       1386,       359,           0,        862
 360,         31975,           31620,          32096,         64620,             353,          21156,      4520,        1122,       2474,      2614,           0,       1385,       360,           0,        867
 361,         32202,           31846,          31171,         64980,             354,          20090,      4577,        1117,       2456,      2621,           0,       1330,       361,           0,        843
 362,         32492,           32135,          30928,         65341,             356,          19934,      4548,        1104,       2326,      2624,           0,       1526,       362,           0,       1188
 363,         32704,           32346,          33139,         65703,             357,          21286,      4924,        1120,       2605,      2623,           0,       1339,       363,           0,        844
 364,         33028,           32669,          31532,         66066,             358,          21436,      4654,        1139,       3267,      2667,           0,       1614,       364,           0,        857
 365,         33065,           32705,          32594,         66430,             358,          20829,      4633,        1138,       2382,      2670,           0,       1388,       365,           0,        850
 366,         33324,           32963,          33182,         66795,             362,          21672,      4648,        1145,       2456,      2671,           0,       1385,       366,           0,        877
 367,         33516,           33154,          34214,         67161,             363,          20742,      4771,        1126,       2642,      2685,           0,       1434,       367,           0,       1047
 368,         33529,           33166,          32455,         67528,             365,          21008,      4787,        1115,       2495,      2671,           0,       1637,       368,           0,        920
 369,         33717,           33353,          32194,         67896,             360,          21879,      4529,        1145,       2424,      2680,           0,       1355,       369,           0,        924
 370,         33913,           33548,          33913,         68265,             363,          21815,      4768,        1167,       2519,      2684,           0,       1398,       370,           0,        887
 371,         33997,           33631,          32997,         68635,             365,          21280,      4866,        1136,       2415,      2693,           0,       1331,       371,           0,        845
 372,         34205,           33838,          33484,         69006,             364,          23133,      4816,        1127,       2550,      2708,           0,       1424,       372,           0,        921
 373,         34466,           34098,          36887,         69378,             367,          21587,      4943,        1167,       2564,      2720,           0,       1419,       373,           0,       1031
 374,         34522,           34153,          33392,         69751,             369,          22487,      4920,        1175,       2566,      2737,           0,       1380,       374,           0,        875
 375,         34531,           34161,          33627,         70125,             371,          21720,      4919,        1140,       2438,      2730,           0,       1481,       375,           0,        856
 376,         34589,           34218,          33661,         70500,             370,          21560,      4929,        1144,       2443,      2734,           0,       1536,       376,           0,        853
 377,         34803,           34431,          33164,         70876,             373,          22360,      4714,        1140,       2486,      2746,           0,       1433,       377,           0,        860
 378,         35062,           34689,          33352,         71253,             367,          21842,      4786,        1166,       2542,      2768,           0,       1361,       378,           0,        857
 379,         35257,           34883,          33258,         71631,             369,          22073,      4798,        1168,       2395,      2767,           0,       1406,       379,           0,        913
 380,         35567,           35192,          33629,         72010,             374,          22374,      4847,        1177,       2560,      2775,           0,       1370,       380,           0,        857
 381,         35938,           35562,          36487,         72390,             373,          23311,      5162,        1189,       2632,      2774,           0,       1469,       381,           0,        890
 382,         36039,           35662,          35625,         72771,             376,          23594,      4790,        1172,       2467,      2792,           0,       1414,       382,           0,        932
