   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 827,          1225,             400,            792,              ,                ,               ,      8665,        1234,       4510,      4108,           0,       2576,       827,           0,       2941
 828,          1228,             402,            811,              ,                ,               ,      8674,        1234,       4200,      4120,           0,       2577,       828,           0,       2871
 829,          1230,             403,            797,              ,                ,               ,      8623,        1216,       4168,      4119,           0,       2574,       829,           0,       2924
 830,          1231,             403,            904,              ,                ,               ,      8654,        1207,       4280,      4141,           0,       2594,       830,           0,       2842
 831,          1232,             403,            836,              ,                ,               ,      8948,        1194,       4305,      4146,           0,       2525,       831,           0,       2798
 832,          1233,             403,            795,              ,                ,               ,      8960,        1194,       4076,      4134,           0,       2599,       832,           0,       3198
 833,          1234,             403,            800,              ,                ,               ,      8853,        1195,       4191,      4139,           0,       2594,       833,           0,       2960
 834,          1235,             403,            778,              ,                ,               ,      8854,        1186,       4279,      4140,           0,       2589,       834,           0,       3002
 835,          1236,             403,            801,              ,                ,               ,      8875,        1220,       4230,      4145,           0,       2895,       835,           0,       2837
 836,          1240,             406,            785,              ,                ,               ,      8700,        1217,       4054,      4154,           0,       2658,       836,           0,       2968
 837,          1241,             406,            802,              ,                ,               ,      8732,        1223,       4066,      4161,           0,       2642,       837,           0,       2809
 838,          1242,             406,            788,              ,                ,               ,      8747,        1225,       4137,      4150,           0,       2826,       838,           0,       2900
 839,          1243,             406,            805,              ,                ,               ,      8691,        1196,       4085,      4155,           0,       2687,       839,           0,       2971
 840,          1244,             406,            786,              ,                ,               ,      8728,        1198,       4101,      4176,           0,       2629,       840,           0,       2953
 841,          1245,             406,           1062,              ,                ,               ,      8749,        1220,       4020,      4181,           0,       2551,       841,           0,       2956
 842,          1246,             406,            789,              ,                ,               ,      8825,        1221,       4246,      4181,           0,       2596,       842,           0,       2880
 843,          1247,             406,            902,              ,                ,               ,      8794,        1225,       4034,      4198,           0,       2815,       843,           0,       3689
 844,          1248,             406,            792,              ,                ,               ,      8852,        1226,       4146,      4209,           0,       3128,       844,           0,       3242
 845,          1249,             406,            974,              ,                ,               ,      8862,        1223,       4571,      4209,           0,       2708,       845,           0,       3212
 846,          1250,             406,            836,              ,                ,               ,      8902,        1227,       4429,      4221,           0,       2727,       846,           0,       3028
 847,          1251,             406,            839,              ,                ,               ,      8840,        1227,       4341,      4238,           0,       2789,       847,           0,       3049
 848,          1252,             406,            833,              ,                ,               ,      8854,        1223,       4271,      4221,           0,       2712,       848,           0,       2968
 849,          1253,             406,            835,              ,                ,               ,      9041,        1232,       4367,      4223,           0,       2641,       849,           0,       2930
 850,          1255,             407,            814,              ,                ,               ,      9053,        1224,       4411,      4229,           0,       2685,       850,           0,       3027
 851,          1256,             407,            813,              ,                ,               ,      8842,        1223,       4162,      4238,           0,       2729,       851,           0,       3210
 852,          1257,             407,            795,              ,                ,               ,      8951,        1229,       4092,      4243,           0,       2707,       852,           0,       2903
 853,          1259,             408,            815,              ,                ,               ,      8973,        1227,       4303,      4256,           0,       2600,       853,           0,       2958
 854,          1260,             408,            795,              ,                ,               ,      9011,        1235,       4306,      4253,           0,       2939,       854,           0,       2965
 855,          1261,             408,            820,              ,                ,               ,      9037,        1223,       4415,      4264,           0,       2808,       855,           0,       3277
 856,          1262,             408,           1363,              ,                ,               ,      9067,        1235,       6771,      4270,           0,       4167,       856,           0,       4316
 857,          1264,             409,            883,              ,                ,               ,      8983,        1226,       4551,      4278,           0,       2980,       857,           0,       3342
 858,          1266,             410,            962,              ,                ,               ,      9052,        1236,       4891,      4281,           0,       3016,       858,           0,       3435
 859,          1268,             411,           1344,              ,                ,               ,      8996,        1236,       7630,      4288,           0,       3537,       859,           0,       3125
 860,          1270,             412,            846,              ,                ,               ,      9073,        1243,       4429,      4287,           0,       2756,       860,           0,       3056
 861,          1271,             412,            848,              ,                ,               ,      9071,        1254,       4482,      4284,           0,       2736,       861,           0,       3027
 862,          1272,             412,            825,              ,                ,               ,      9192,        1251,       4313,      4300,           0,       2827,       862,           0,       3227
 863,          1273,             412,           1192,              ,                ,               ,      9055,        1249,       5199,      4308,           0,       2773,       863,           0,       3213
 864,          1274,             412,            847,              ,                ,               ,      9244,        1252,       4470,      4330,           0,       2835,       864,           0,       2953
 865,          1276,             413,           1001,              ,                ,               ,      9289,        1259,       4362,      4336,           0,       2825,       865,           0,       4161
 866,          1278,             414,            928,              ,                ,               ,      9302,        1264,       4739,      4341,           0,       2733,       866,           0,       3139
 867,          1282,             417,            836,              ,                ,               ,      9306,        1265,       4407,      4343,           0,       2876,       867,           0,       3541
 868,          1283,             417,            847,              ,                ,               ,      9318,        1265,       4538,      4344,           0,       2992,       868,           0,       3440
 869,          1284,             417,            954,              ,                ,               ,      9263,        1266,       4450,      4341,           0,       2801,       869,           0,       3149
 870,          1285,             417,            853,              ,                ,               ,      9371,        1268,       4519,      4364,           0,       2727,       870,           0,       3024
 871,          1286,             417,            810,              ,                ,               ,      9183,        1278,       4233,      4349,           0,       2998,       871,           0,       2994
 872,          1288,             418,            810,              ,                ,               ,      9247,        1281,       4238,      4374,           0,       2663,       872,           0,       3255
 873,          1289,             418,            812,              ,                ,               ,      9199,        1268,       4271,      4373,           0,       2833,       873,           0,       2988
 874,          1290,             418,            837,              ,                ,               ,      9201,        1270,       4631,      4373,           0,       2662,       874,           0,       3045
 875,          1291,             418,            849,              ,                ,               ,      9313,        1266,       4514,      4385,           0,       2679,       875,           0,       3035
 876,          1292,             418,            814,              ,                ,               ,      9397,        1264,       4444,      4404,           0,       2783,       876,           0,       3152
 877,          1294,             419,            842,              ,                ,               ,      9546,        1277,       4506,      4409,           0,       2753,       877,           0,       3115
 878,          1296,             420,            823,              ,                ,               ,      9606,        1283,       4477,      4400,           0,       2902,       878,           0,       3016
 879,          1297,             420,            842,              ,                ,               ,      9676,        1269,       4858,      4403,           0,       2752,       879,           0,       3061
 880,          1298,             420,            842,              ,                ,               ,      9555,        1290,       4423,      4427,           0,       2802,       880,           0,       2952
 881,          1300,             421,            818,              ,                ,               ,      9948,        1280,       4660,      4431,           0,       2687,       881,           0,       3384
 882,          1301,             421,           1079,              ,                ,               ,      9898,        1273,       4642,      4449,           0,       2767,       882,           0,       3761
 883,          1302,             421,            847,              ,                ,               ,      9388,        1291,       5187,      4450,           0,       2862,       883,           0,       3194
 884,          1303,             421,            986,              ,                ,               ,      9435,        1283,       4587,      4443,           0,       2892,       884,           0,       3184
 885,          1305,             422,            867,              ,                ,               ,      9389,        1292,       4539,      4440,           0,       2967,       885,           0,       3111
 886,          1306,             422,            850,              ,                ,               ,      9485,        1286,       4491,      4455,           0,       2777,       886,           0,       3073
 887,          1307,             422,            990,              ,                ,               ,      9794,        1301,       4590,      4462,           0,       2783,       887,           0,       3051
 888,          1308,             422,            996,              ,                ,               ,      9838,        1301,       4907,      4470,           0,       2750,       888,           0,       3305
 889,          1309,             422,           1058,              ,                ,               ,      9864,        1297,       4647,      4483,           0,       2954,       889,           0,       3180
 890,          1310,             422,            870,              ,                ,               ,      9843,        1295,       4651,      4474,           0,       2791,       890,           0,       3195
 891,          1311,             422,            846,              ,                ,               ,      9508,        1306,       4526,      4492,           0,       2795,       891,           0,       3799
 892,          1312,             422,           1123,              ,                ,               ,      9471,        1304,       4629,      4494,           0,       2893,       892,           0,       3213
 893,          1313,             422,            985,              ,                ,               ,      9567,        1279,       4481,      4500,           0,       2865,       893,           0,       3046
 894,          1315,             423,            832,              ,                ,               ,      9418,        1286,       4603,      4511,           0,       2747,       894,           0,       3046
 895,          1317,             424,            875,              ,                ,               ,      9431,        1286,       5121,      4523,           0,       2993,       895,           0,       3147
 896,          1320,             426,            898,              ,                ,               ,      9447,        1288,       4569,      4517,           0,       2892,       896,           0,       3229
 897,          1321,             426,            961,              ,                ,               ,      9496,        1306,       4457,      4523,           0,       2831,       897,           0,       3107
 898,          1322,             426,            857,              ,                ,               ,      9485,        1305,       4603,      4537,           0,       3450,       898,           0,       3268
 899,          1324,             427,            879,              ,                ,               ,      9466,        1300,       4563,      4547,           0,       2979,       899,           0,       3232
 900,          1325,             427,            885,              ,                ,               ,      9474,        1298,       4576,      4527,           0,       2895,       900,           0,       3116
 901,          1326,             427,            856,              ,                ,               ,      9916,        1301,       4791,      4538,           0,       2841,       901,           0,       3181
 902,          1327,             427,            898,              ,                ,               ,      9994,        1303,       4851,      4530,           0,       2839,       902,           0,       3153
 903,          1329,             428,            840,              ,                ,               ,      9480,        1281,       4566,      4535,           0,       2769,       903,           0,       3170
 904,          1330,             428,            843,              ,                ,               ,      9499,        1285,       4335,      4578,           0,       2990,       904,           0,       3335
 905,          1331,             428,            882,              ,                ,               ,      9570,        1299,       4538,      4581,           0,       2895,       905,           0,       3268
 906,          1332,             428,            869,              ,                ,               ,      9575,        1304,       4575,      4590,           0,       2940,       906,           0,       3160
 907,          1333,             428,            907,              ,                ,               ,      9535,        1314,       4856,      4584,           0,       2864,       907,           0,       3244
 908,          1334,             428,            871,              ,                ,               ,      9512,        1309,       4649,      4579,           0,       2860,       908,           0,       3201
 909,          1337,             430,            871,              ,                ,               ,      9544,        1304,       4461,      4579,           0,       2922,       909,           0,       3156
 910,          1341,             433,            877,              ,                ,               ,      9556,        1305,       4490,      4571,           0,       2860,       910,           0,       3466
